the_geom,company,boro,building,street,cb,installati,active,payphones_,x_coordina,y_coordina,curbside,wifi,advertisin,electrifie,zoning,distrct_co
POINT (-73.8981682368399 40.74955730896312),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,64-21,BROADWAY,2,6074,Y,1,1012465,212377,YES,N,Y,Y,C2-2/R5,26
POINT (-74.00004690644528 40.73207708606329),CityBridge LLC,MN,86,WEST WASHINGTON PLACE,2,15896,Y,1,984237,205992,YES,N,Y,N,C1-5/R7-2,1
POINT (-73.98604698388607 40.732806345432046),CityBridge LLC,MN,250,EAST 14 STREET,3,15882,Y,1,988117,206258,YES,N,Y,N,C1-6A,2
POINT (-74.0024247425479 40.73318045181088),CityBridge LLC,MN,204,WEST 4 STREET,2,10264,Y,2,983578,206394,YES,N,Y,N,C4-5,3
POINT (-74.00664609684591 40.730215950417644),CityBridge LLC,MN,1,ST LUKES PLACE,2,3945,Y,1,982408,205314,YES,N,Y,N,C1-6,3
POINT (-73.99095856459779 40.75362851181204),CityBridge LLC,MN,265,WEST 37 STREET,5,10008,Y,2,986755,213844,YES,N,Y,N,M1-6/GC,3
POINT (-73.98982462587438 40.73393483514542),CityBridge LLC,MN,145,4 AVENUE,3,9930,Y,2,987070,206669,YES,N,Y,N,C6-4 C6-1,2
POINT (-73.99177443584723 40.75235775532823),CityBridge LLC,MN,261,WEST 35 STREET,5,10007,Y,2,986529,213381,YES,N,Y,N,M1-6/GC,3
POINT (-73.98916752512005 40.736347413498386),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,48,UNION SQUARE EAST,5,10903,Y,2,987252,207548,YES,N,Y,Y,C6-4/US,2
POINT (-73.95953405675729 40.81544414168422),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,56,TIEMANN PLACE,9,6080,Y,1,995451,236368,YES,N,Y,Y,R8,7
POINT (-73.97428983326837 40.78356836933849),CityBridge LLC,MN,449,COLUMBUS AVENUE,7,9999,Y,1,991370,224753,YES,N,Y,N,C1-5/R10A,6
POINT (-73.97909335850842 40.74612557366862),CityBridge LLC,MN,158,EAST 34 STREET,6,10000,Y,2,990043,211111,YES,N,Y,N,C1-9,2
POINT (-74.00405568510344 40.733419199530054),CityBridge LLC,MN,88,CHRISTOPHER STREET,2,8247,Y,1,983126,206481,YES,N,N,N,C1-6,3
POINT (-73.98276643350023 40.74935400619937),CityBridge LLC,MN,12,EAST 36 STREET,5,3450,Y,1,989025,212287,YES,N,Y,N,C5-2,4
POINT (-73.94662656505514 40.81905642983262),CityBridge LLC,MN,337,WEST 138 STREET,10,11349,Y,1,999023,237686,YES,N,N,N,R7-2,9
POINT (-73.88352763834202 40.66602844773092),CityBridge LLC,BK,747,NEW LOTS AVENUE,5,1227,Y,1,1016562,181950,YES,N,Y,N,C1-2\R5,42
